abgebrochen,canceled
abgeleiteten,derivated
abgeraten,discouraged
abhängen,depend
Ableitung,derivation
Abschaltung,shutdown
Abwärtskompatibilität,backward Compatibility
ähnlich,similar
allerdings,certainly
andere,other
ansprechen,mention
antreibt,antreibt
Anweisungen,instructions
anzulegen,create
Ärgernisse,Annoyances
aufgerufen,called
auftreten,occure
Ausführung,execution
Ausgabe,output
ausgewertet,evaluated
auslösen,trigger
außerhalb,outside
Austritt,escape
beachten,observe
Bedingung,condition
bedrohen,threaten
beeindrucken,impress
Begriffe,terms
behandelt,treated
beibehalten,retain
Beispiel,example
beliebigen,any
benötigten,required
benutzt,used
bereitgestellt,provided
bereits,already
beschränkt,limited
besitzt,has
Bestandteil,component
bestehen,exist
bestimmtes,certain
betrachtet,considered
betreibt,operates
betrifft,concerns
bezeichne,denote
bezeichner,identifier
beziehen,obtain
Beziehung,relationship
buchstaben,letters
dabei,there
denselben / dieselbe,same
drücken,press
ebenfalls,also
einfach,easy
eingeführt,imported
einschließlich,including
einzige,single
einzige,"single | only"
empfohlen,recommended
entdecken,detect
entgegengesetzt,opposite
enthalten,contain
entschied,decided
entsprechende,corresponding
entweder,either
erben,inherit
erfinden,invent
erforderlich,required
erhält,receives
erlauben,permit
ermöglichen,enable
erreicht,reached
erweitern,expand
erzeugen,generate
falls,if
falsch,wrong
fangbar,catchable
Folge,sequence
gängiges,common
geerbten,inherited
gefangen,captured
Gegensatz,contrast
gehört,belongs
geschweifter Klammern,curly braces
gewährleisten,ensure
geworfen,thrown
gilt,applies
grenzt,borders
Gründen,establish
Gültigkeitsbereichsoperator,Scope Resolution Operator
heraus,"out | without"
hierzu,this
indem,as
innerhalb,within
jedoch,however
jeglichen,All
Kürzel,shorthand
leistungsstärksten,powerful
manchen,some
mithilfe,using
mittels,through
möglicherweise,possibly
Müll,garbage
nachfolgende,subsequent
nächste,next
Namensraum,namespace
nennen,name
notwendigkeit,need
nützliche,useful
passend,suitable
rechts,right
Reihenfolge,order
sämtliche,all
schätzen,estimate
scheint,seems
scheitert,fails
schwer,hard
Seit,since
Sichtbarkeit,visibility
sobald,whenever
statt,instead of
stellen,set
Tatsächlich,actually
übereinstimmen,match
üblicherweise,usually
Umgang,handling
umgewandelt,converted
unabänderlich,irreversible
untereinander,among
unterschiedlichen,different
Unterstützung,support
ursprüngliche,original
veraltet,outdated
Vererbung,heredity
verfügbar,available
Verfügung,disposal
verhalten,behavior
verhindert,prevented
versiegelte,sealed
versuchen,try
verteilt,distributed
vertrauen,trust
Verweis,reference
verweist,Recalls
Verzeichnis,directory
voranstellt,prepends
Wahl,choice
während,while
weichen ab,differ
Weise,manner
weiterhin,furthermore
weshalb,for which reason
wichtig,important
wirft,raises
wollen,intend
zugewiesen,assigned
zugreifen,access
zumindest,at least
zusätzliche,additional
zuweist,assigns
Zwecke,purposes
zwingen,force
zugänglich,accessible
wenigstens,at least
weniger,fewer
einschränkenden,restrictive
Außerdem,also
abweichen,differ
liegt,is located
Unterlassung,omission
gewünscht,required
abtrennt,separated
Wiederverwendung,reuse
aufzuweichen,soften
vermeidet,avoids
gebracht,brought
bündeln,focus
Verhaltensweisen,behaviors
wende,change
raum,space
lustig,funny
aufzuweichen,weaken
unabhängigen,independent
Mengen,mix
vermeidet,avoids
gebracht,brought
vorgesehen,scheduled
vorauszusetzen,presuppose
Jene wiederum,These in turn
Überladung,Overload
verarbeitet,processed
interagiert,interacts
entweder,either
Geltungsbereich,scope
Abschnitts,section
beinhaltet,includes
angewendet,applied
Gültigkeitsbereiches,validity range
durchlaufen,through
Standardmäßig,default
lief,run
Um es einen Schritt weiter zu treiben,To take it a step further
vorzugebenpretend,?
betrachteten,considered
berücksichtigtconsidered,?
Entwürfe,drafts
Verfahrenmethod
verbreitete,spread
Herstellung,production
zuständig,responsible
bekommt,gets
übergeben,transfer
stellt sicher,ensures
Zugriffsmöglichkeit,accessibility
Zuständen,states
eng koppeln,tightly couple
Somit,thus
entstehen,arise
unerwartete,unexpected
Seiteneffekteside,effects
woraus wiederumwhich,in turn
sinnlos,meaningless
eindeutigunambiguously
verstoßen,contravene
außerdem,also
Hinweise,Notes
dargelegt,explained
ursprünglichen,original
wiederherzustellen,restore
imstande,able
vorher,previously
auftauchen,emerge
entfernt,distant
dringend,urgently
eingebunden,involved
was dazu führen wird,which will result in
obigen,above
häufigsten,frequently
Aussagen,
standardmäßig,default
berichtigt,corrected
verbreitete,spread
anhand,based
beziehen,
vielmehr,rather
Hiermit,hereby
Hinblick,view
Tatsache,fact
aufgelöst,resolved
stattdessen,instead
Laufzeitinformationen,Runtime information
aufgelöst,resolved
umgehen,bypass
Allmächtigkeit,powerfulness
versorgen,aprovizionare
darstellung,reprezentare
anlagen,facilita?i
bergbau,minerit
befördern,transmite
reihe,serie
beweglichen,mobil
schöffen,juriu
beschädigen,prejudiciu
umgeleitet,redirec?ionat
eindeutigen,clar
betretenen,batut
anglich,accesibil
abgezweigt,deviate
nass,umed
vermerkte,remarcat
jeweiligen,respectiv
verteidigung,aparare
festung,fortarea?a
stemmen,sprijini
ausführung,execu?ie
verführung,seduc?ie
vermutung,prezum?ie
Sturm,furtuna
Angezogen,atras
ausgeprägte,pronun?at
bernstein,chihlimbar
geschätzt,pre?uit
bedeutung,importan?a
belegen,ocupa
wegweisend,pathbreaking
vorangetrieben,promovat
vorteil,beneficiu
auswertung,evaluare
schmiede,fierarie
gestoßen,întâlnit
belege,încasari
